
  2451755 function calls (2451745 primitive calls) in 4.908 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    1.801    0.075    2.988    0.124 alg.py:263(distance)
       70    1.001    0.014    1.013    0.014 alg.py:98(add_structure)
  1203640    0.769    0.000    0.769    0.000 {math.pow}
        1    0.417    0.417    3.605    3.605 alg.py:176(score)
   601825    0.209    0.000    0.209    0.000 {math.sqrt}
      332    0.200    0.001    0.204    0.001 alg.py:225(check_surrounding)
        1    0.135    0.135    0.135    0.135 {_tkinter.create}
   640693    0.117    0.000    0.117    0.000 {method 'append' of 'list' objects}
       56    0.099    0.002    0.099    0.002 {min}
        1    0.040    0.040    0.678    0.678 alg.py:276(add_small_house)
        1    0.016    0.016    0.018    0.018 alg.py:70(make_list)
        1    0.014    0.014    0.027    0.027 FixTk.py:1(<module>)
        1    0.012    0.012    0.206    0.206 alg.py:281(add_medium_house)
        3    0.011    0.004    0.011    0.004 {built-in method call}
        1    0.007    0.007    0.009    0.009 __init__.py:4(<module>)
        1    0.007    0.007    0.187    0.187 graphics.py:61(<module>)
        1    0.006    0.006    0.111    0.111 alg.py:286(add_big_house)
        1    0.006    0.006    4.908    4.908 alg.py:1(<module>)
        1    0.005    0.005    0.084    0.084 alg.py:75(createWater)
     2568    0.005    0.000    0.005    0.000 {range}
        1    0.004    0.004    0.033    0.033 Tkinter.py:31(<module>)
        1    0.004    0.004    0.004    0.004 {function seed at 0x025E8F70}
        1    0.003    0.003    0.014    0.014 random.py:40(<module>)
        1    0.003    0.003    0.003    0.003 hashlib.py:55(<module>)
        1    0.003    0.003    0.003    0.003 {nt.urandom}
      140    0.001    0.000    0.001    0.000 random.py:175(randrange)
        7    0.001    0.000    0.001    0.000 {nt.stat}
        1    0.001    0.001    0.001    0.001 {__import__}
        6    0.000    0.000    0.000    0.000 {nt._isdir}
     1328    0.000    0.000    0.000    0.000 alg.py:257(check_negative)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        2    0.000    0.000    0.000    0.000 {nt.listdir}
        1    0.000    0.000    0.002    0.002 FixTk.py:21(convert_path)
      140    0.000    0.000    0.001    0.000 random.py:238(randint)
        4    0.000    0.000    0.000    0.000 {nt.putenv}
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 mbcs.py:9(<module>)
        1    0.000    0.000    0.001    0.001 Tkinter.py:1814(readprofile)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:297(create_unicode_buffer)
       27    0.000    0.000    0.000    0.000 ntpath.py:95(splitdrive)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
