  
  56970621 function calls (43156811 primitive calls) in 54.297 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
13771043/143   22.309    0.000   51.575    0.361 copy.py:145(deepcopy)
43043/143   19.013    0.000   51.573    0.361 copy.py:226(_deepcopy_list)
 13814881    4.698    0.000    4.698    0.000 {method 'get' of 'dict' objects}
 14244671    3.253    0.000    3.253    0.000 {method 'append' of 'list' objects}
 13858060    2.293    0.000    2.293    0.000 {id}
       24    1.285    0.054    2.127    0.089 alg.py:258(distance)
   792260    0.544    0.000    0.544    0.000 {math.pow}
   396135    0.151    0.000    0.151    0.000 {math.sqrt}
        1    0.134    0.134    0.134    0.134 {_tkinter.create}
      237    0.118    0.000    0.120    0.001 alg.py:220(check_surrounding)
    43830    0.096    0.000    0.118    0.000 copy.py:267(_keep_alive)
        1    0.088    0.088   11.393   11.393 alg.py:174(score)
        1    0.077    0.077   30.082   30.082 alg.py:271(add_small_house)
       56    0.068    0.001    0.068    0.001 {min}
      119    0.040    0.000   42.567    0.358 alg.py:98(add_structure)
        1    0.020    0.020    7.887    7.887 alg.py:276(add_medium_house)
        1    0.016    0.016    0.018    0.018 alg.py:70(make_list)
        1    0.014    0.014    0.026    0.026 FixTk.py:1(<module>)
        3    0.011    0.004    0.011    0.004 {built-in method call}
        1    0.008    0.008    2.907    2.907 alg.py:75(createWater)
        1    0.008    0.008    0.186    0.186 graphics.py:61(<module>)
        1    0.007    0.007    0.009    0.009 __init__.py:4(<module>)
        1    0.007    0.007   54.297   54.297 alg.py:1(<module>)
     2975    0.006    0.000    0.006    0.000 {range}
        1    0.005    0.005    1.804    1.804 alg.py:281(add_big_house)
        1    0.004    0.004    0.004    0.004 {function seed at 0x02558F70}
        1    0.004    0.004    0.014    0.014 random.py:40(<module>)
        1    0.004    0.004    0.032    0.032 Tkinter.py:31(<module>)
        1    0.003    0.003    0.003    0.003 hashlib.py:55(<module>)
      238    0.003    0.000    0.003    0.000 random.py:175(randrange)
        1    0.002    0.002    0.002    0.002 {nt.urandom}
      238    0.001    0.000    0.004    0.000 random.py:238(randint)
        1    0.001    0.001    0.001    0.001 {__import__}
        7    0.001    0.000    0.001    0.000 {nt.stat}
        6    0.000    0.000    0.000    0.000 {nt._isdir}
        1    0.000    0.000    0.002    0.002 FixTk.py:21(convert_path)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
      948    0.000    0.000    0.000    0.000 alg.py:252(check_negative)
      787    0.000    0.000    0.000    0.000 copy.py:198(_deepcopy_atomic)
        2    0.000    0.000    0.000    0.000 {nt.listdir}
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        4    0.000    0.000    0.000    0.000 {nt.putenv}
      246    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 mbcs.py:9(<module>)
        1    0.000    0.000    0.001    0.001 Tkinter.py:1814(readprofile)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 __init__.py:297(create_unicode_buffer)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       27    0.000    0.000    0.000    0.000 ntpath.py:95(splitdrive)
        2    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
  203/201    0.000    0.000    0.000    0.000 {len}
        1    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
      4/2    0.000    0.000    0.000    0.000 sre_parse.py:379(_parse)
       13    0.000    0.000    0.000    0.000 ntpath.py:62(join)
        1    0.000    0.000    0.000    0.000 Tkinter.py:374(Misc)
        2    0.000    0.000    0.000    0.000 sre_compile.py:207(_optimize_charset)
        1    0.000    0.000    0.007    0.007 random.py:100(seed)
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        4    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
        2    0.000    0.000    0.000    0.000 sre_compile.py:359(_compile_info)
        1    0.000    0.000    0.135    0.135 Tkinter.py:1744(__init__)
      4/2    0.000    0.000    0.000    0.000 sre_compile.py:32(_compile)
       18    0.000    0.000    0.000    0.000 sre_parse.py:182(__next)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1774(_loadtk)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
       12    0.000    0.000    0.000    0.000 alg.py:23(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3316(PhotoImage)
        4    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
        2    0.000    0.000    0.001    0.001 re.py:226(_compile)
        1    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
      4/2    0.000    0.000    0.000    0.000 sre_parse.py:140(getwidth)
        2    0.000    0.000    0.001    0.000 sre_compile.py:493(compile)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
       22    0.000    0.000    0.000    0.000 {isinstance}
        1    0.000    0.000    0.000    0.000 Tkinter.py:2880(Text)
      4/2    0.000    0.000    0.000    0.000 sre_parse.py:301(_parse_sub)
       28    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 sre_parse.py:677(parse)
        4    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2183(Canvas)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
       24    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        4    0.000    0.000    0.000    0.000 random.py:358(uniform)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1535(Wm)
        2    0.000    0.000    0.000    0.000 {built-in method getvar}
